GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPTS - Student Performance Tracking System,com.spts.controller,StatisticsController,53,10,0,0,15,4,5,2,5,2
SPTS - Student Performance Tracking System,com.spts.controller,CourseController,90,6,0,0,15,3,14,1,14,1
SPTS - Student Performance Tracking System,com.spts.controller,EnrollmentController,154,6,6,0,29,3,19,1,16,1
SPTS - Student Performance Tracking System,com.spts.controller,CourseOfferingController,84,6,0,0,14,3,13,1,13,1
SPTS - Student Performance Tracking System,com.spts.controller,AuthController,7,35,1,3,2,11,2,4,1,3
SPTS - Student Performance Tracking System,com.spts.controller,GradeEntryController,119,6,0,0,19,3,18,1,18,1
SPTS - Student Performance Tracking System,com.spts.controller,StudentController,107,9,4,0,23,4,15,1,13,1
SPTS - Student Performance Tracking System,com.spts.controller,AlertController,0,126,0,0,0,23,0,20,0,20
SPTS - Student Performance Tracking System,com.spts.patterns.strategy,Scale10Strategy,0,253,0,58,0,44,0,38,0,9
SPTS - Student Performance Tracking System,com.spts.patterns.strategy,GradingStrategyFactory,0,41,0,8,0,8,0,7,0,2
SPTS - Student Performance Tracking System,com.spts.patterns.strategy,PassFailStrategy,10,135,3,25,2,24,3,20,0,9
SPTS - Student Performance Tracking System,com.spts.patterns.strategy,Scale4Strategy,10,236,4,54,2,43,4,35,0,10
SPTS - Student Performance Tracking System,com.spts.dto,StatisticsDTO.CreditDistribution,36,0,0,0,12,0,8,0,8,0
SPTS - Student Performance Tracking System,com.spts.dto,EnrollmentDTO,137,0,0,0,57,0,38,0,38,0
SPTS - Student Performance Tracking System,com.spts.dto,StatisticsDTO.EnrollmentTrend,62,0,0,0,19,0,14,0,14,0
SPTS - Student Performance Tracking System,com.spts.dto,AuthUserDTO,23,33,0,0,11,12,6,6,6,6
SPTS - Student Performance Tracking System,com.spts.dto,CourseDTO,78,0,0,0,34,0,20,0,20,0
SPTS - Student Performance Tracking System,com.spts.dto,GradeEntryDTO,74,83,12,0,17,38,19,23,13,23
SPTS - Student Performance Tracking System,com.spts.dto,CourseOfferingDTO,96,0,0,0,39,0,26,0,26,0
SPTS - Student Performance Tracking System,com.spts.dto,StudentDTO,94,0,0,0,39,0,23,0,23,0
SPTS - Student Performance Tracking System,com.spts.dto,AlertDTO,0,115,0,0,0,49,0,28,0,28
SPTS - Student Performance Tracking System,com.spts.dto,StatisticsDTO.DepartmentStats,50,0,0,0,16,0,12,0,12,0
SPTS - Student Performance Tracking System,com.spts.dto,StatisticsDTO.AdminDashboardStats,59,0,0,0,17,0,17,0,17,0
SPTS - Student Performance Tracking System,com.spts.dto,StatisticsDTO.CourseEnrollmentStats,70,0,0,0,22,0,16,0,16,0
SPTS - Student Performance Tracking System,com.spts.dto,StatisticsDTO,3,0,0,0,1,0,1,0,1,0
SPTS - Student Performance Tracking System,com.spts.patterns.observer,IGradeObserver,2,0,0,0,1,0,1,0,1,0
SPTS - Student Performance Tracking System,com.spts.patterns.observer,GradeSubject,24,30,4,2,6,7,5,3,2,3
SPTS - Student Performance Tracking System,com.spts.patterns.observer,RiskDetectorObserver,179,12,18,0,37,5,12,3,3,3
SPTS - Student Performance Tracking System,com.spts.patterns.observer,GpaRecalculatorObserver,73,12,6,0,19,5,5,3,2,3
SPTS - Student Performance Tracking System,com.spts.security,CustomUserDetailsService,280,115,20,6,53,26,16,7,5,5
SPTS - Student Performance Tracking System,com.spts.security,FirebaseTokenInfo,5,52,2,2,1,14,3,5,1,5
SPTS - Student Performance Tracking System,com.spts.security,FirebaseTokenFilter,208,174,35,11,49,50,23,5,1,4
SPTS - Student Performance Tracking System,com.spts.config,DotEnvConfig,87,44,13,5,22,19,11,3,2,3
SPTS - Student Performance Tracking System,com.spts.config,FirebaseConfig,39,60,6,6,14,19,7,4,1,4
SPTS - Student Performance Tracking System,com.spts.config,CorsConfig,0,83,0,0,0,10,0,2,0,2
SPTS - Student Performance Tracking System,com.spts.config,ObserverConfig,0,34,0,0,0,10,0,3,0,3
SPTS - Student Performance Tracking System,com.spts.config,OpenApiConfig,0,54,0,0,0,19,0,2,0,2
SPTS - Student Performance Tracking System,com.spts.config,SecurityConfig,0,122,0,0,0,21,0,9,0,9
SPTS - Student Performance Tracking System,com.spts.config,DataInitializer,1097,31,21,1,142,11,18,2,7,2
SPTS - Student Performance Tracking System,com.spts.service,StatisticsService,605,13,22,0,133,5,49,2,35,2
SPTS - Student Performance Tracking System,com.spts.service,StatisticsService.StatisticsDataCache,9,0,0,0,4,0,1,0,1,0
SPTS - Student Performance Tracking System,com.spts.service,AlertService,617,9,26,0,125,4,50,1,37,1
SPTS - Student Performance Tracking System,com.spts.service,GradeEntryService,592,295,41,17,120,75,56,10,31,6
SPTS - Student Performance Tracking System,com.spts.service,AuthService,151,82,7,1,31,24,14,4,10,4
SPTS - Student Performance Tracking System,com.spts.service,CourseOfferingService,759,12,42,0,152,5,57,1,36,1
SPTS - Student Performance Tracking System,com.spts.service,EnrollmentService,1066,25,102,0,217,9,84,2,33,2
SPTS - Student Performance Tracking System,com.spts.service,StudentService,581,28,40,0,121,10,46,2,26,2
SPTS - Student Performance Tracking System,com.spts.service,AlertService.AlertSummary,16,36,0,0,4,11,4,11,4,11
SPTS - Student Performance Tracking System,com.spts.service,CourseService,563,9,36,0,120,4,45,1,27,1
SPTS - Student Performance Tracking System,com.spts.patterns.state,GraduatedState,6,9,0,0,3,4,3,4,3,4
SPTS - Student Performance Tracking System,com.spts.patterns.state,StudentStateManager,1,140,3,15,0,29,3,14,0,8
SPTS - Student Performance Tracking System,com.spts.patterns.state,ProbationState,22,9,4,0,7,4,5,4,3,4
SPTS - Student Performance Tracking System,com.spts.patterns.state,NormalState,14,9,2,0,5,4,4,4,3,4
SPTS - Student Performance Tracking System,com.spts.patterns.state,StudentState,0,3,0,0,0,1,0,1,0,1
SPTS - Student Performance Tracking System,com.spts.patterns.state,AtRiskState,22,9,4,0,7,4,5,4,3,4
SPTS - Student Performance Tracking System,com.spts.exception,ResourceNotFoundException,37,0,0,0,8,0,4,0,4,0
SPTS - Student Performance Tracking System,com.spts.exception,GlobalExceptionHandler,228,23,2,0,47,5,11,2,10,2
SPTS - Student Performance Tracking System,com.spts.exception,DuplicateResourceException,37,0,0,0,8,0,4,0,4,0
SPTS - Student Performance Tracking System,com.spts.exception,ErrorResponse,24,36,0,0,12,13,6,7,6,7
SPTS - Student Performance Tracking System,com.spts.exception,BusinessRuleException,4,0,0,0,2,0,1,0,1,0
SPTS - Student Performance Tracking System,com.spts.entity,GradeEntry,39,282,4,32,12,74,7,43,3,29
SPTS - Student Performance Tracking System,com.spts.entity,StudentStatus,6,46,0,0,2,9,2,2,2,2
SPTS - Student Performance Tracking System,com.spts.entity,UserRole,0,15,0,0,0,3,0,1,0,1
SPTS - Student Performance Tracking System,com.spts.entity,User,55,35,0,0,23,14,11,9,11,9
SPTS - Student Performance Tracking System,com.spts.entity,ApprovalStatus,0,21,0,0,0,2,0,1,0,1
SPTS - Student Performance Tracking System,com.spts.entity,GradingType,6,38,0,0,2,8,2,2,2,2
SPTS - Student Performance Tracking System,com.spts.entity,CourseOffering,113,46,8,0,31,14,24,4,20,4
SPTS - Student Performance Tracking System,com.spts.entity,AlertType,6,54,0,0,2,10,2,2,2,2
SPTS - Student Performance Tracking System,com.spts.entity,GradeEntryType,6,30,0,0,2,7,2,2,2,2
SPTS - Student Performance Tracking System,com.spts.entity,Course,69,47,0,0,29,14,18,5,18,5
SPTS - Student Performance Tracking System,com.spts.entity,Student,205,99,22,0,58,31,40,10,29,10
SPTS - Student Performance Tracking System,com.spts.entity,Enrollment,112,186,20,30,31,48,32,21,14,14
SPTS - Student Performance Tracking System,com.spts.entity,AlertLevel,6,46,0,0,2,9,2,2,2,2
SPTS - Student Performance Tracking System,com.spts.entity,EnrollmentStatus,6,38,0,0,2,8,2,2,2,2
SPTS - Student Performance Tracking System,com.spts.entity,Semester,6,46,0,0,2,9,2,2,2,2
SPTS - Student Performance Tracking System,com.spts.entity,Alert,133,14,4,0,49,7,27,1,25,1
SPTS - Student Performance Tracking System,com.spts.service.firebase,MockFirebaseService,12,7,0,0,4,2,2,2,2,2
SPTS - Student Performance Tracking System,com.spts.service.firebase,RealFirebaseService,151,0,6,0,37,0,7,0,4,0
SPTS - Student Performance Tracking System,com.spts,SptsApplication,5,3,0,0,2,1,1,1,1,1
